region,office,search,address,phone1,phone2
রংপুর বিভাগ,ভাদুরিয়া অফিস,vaduriya vaduria,"কৃষি ব্যাংকের সামনে, মেইন রোড, ভাদুরিয়া বাজার, ভাদুরিয়া, দিনাজপুর।",01958-587546,01958-587547
রংপুর বিভাগ,নীলফামারী অফিস,nilfamari,"পৌরসভা রোড, জেলা স্কুল বড় মাঠের বিপরীতে, সবুজ পাড়া, নীলফামারী।",01958-587415,01958-587416
রংপুর বিভাগ,পঞ্চগড় অফিস,ponchogar panchagar,"জালাসী রোড, রৌশনাবাগ, কামাতপাড়া মোড়, পঞ্চগড়।",01958-587417,01958-587418
রংপুর বিভাগ,লালমনিরহাট অফিস,lalmonirhat,"মিশন মোড়, বি ডি আর রোড টেলিফোন ভবন এর বিপরীতে, লালমনিহাট",01958-587419,01958-587420
রংপুর বিভাগ,বিরামপুর অফিস,birampur,"থানা রোড, পল্লবীর মোড় বিরামপুর।",01733-385185,01733-385186
রংপুর বিভাগ,ফুলবাড়ি অফিস,fulbari,"সদর রোড, ফুলবাড়ি (জমিদার হোটেলের বিপরীতে), দিনাজপুর।",01733-385198,01733-385199
রংপুর বিভাগ,ঠাকুরগাঁও অফিস,thakurgaon,"৮০৬, তাঁতীপাড়া রোড, ঠাকুরগাঁও।",01733-385047,01733-385048
সিলেট বিভাগ,সিলেট অফিস (কুমারপাড়া),shylet kumarpara,"ফারুক মঞ্জিল, ব্লক-সি, বাড়ী নং-৩ শাহী ঈদগাহ, রোড, সিলেট।",01733-384802,01733-385004
সিলেট বিভাগ,সিলেট অফিস (কদমতলী),shylet kodomtoli,"ইয়াসির প্লাজা, কমদতলী, সিলেট।",01733-384865,01733-384863
সিলেট বিভাগ,মৌলভীবাজার অফিস,moulovibazar,"ছয়ভাই ভবন, নীচতলা, ঢাকা-সিলেট মহাসড়ক মৌলভীবাজার।",01733-385001,01733-385000
সিলেট বিভাগ,শ্রীমঙ্গল অফিস,srimongol srimangal,"এ বি ব্যাংক এর উত্তরে, রূপসপুর মসজিদের বিপরীতে, শ্রীমঙ্গল।",01733-385056,01733-385033
সিলেট বিভাগ,হবিগঞ্জ অফিস,hobiganj,"আনোয়ারপুর বাইপাস রোড হাজী মনোয়ার আলী মার্কেটের বিপরীতে, হবিগঞ্জ।",01733-385116,01733-385117
সিলেট বিভাগ,শায়েস্তাগঞ্জ অফিস,sayestaganj,"আল-কাফি সুপার মার্কেট নতুন ব্রীজ গোল চত্তর সংলগ্ন চুনারুঘাট রোড, শায়েস্তাগঞ্জ।",01958-587450,01958-587451
সিলেট বিভাগ,সুনামগঞ্জ অফিস,sunamganj,"আব্দুর রশিদ মার্কেট, নতুন কোর্ট পয়েন্ট রোডের পশ্চিমে, সুনামগঞ্জ।",01958-587454,01958-587455
বরিশাল বিভাগ,বরিশাল অফিস,borisal,"হাতেম আলী কলেজ চৌমাথা, নবগ্রাম রোড, আর, এম স্কুলের পশ্চিম পার্শ্বে, বরিশাল।",01733-384871,01733-384869
বরিশাল বিভাগ,পটুয়াখালী অফিস,patuakhali potuakhali,"পানি উন্নয়ন বোর্ড ও অপসনিন ফার্মা সংলগ্ন সদর রোড, পটুয়াখালী।",01733-385170,01733-385169
বরিশাল বিভাগ,ঝালকাঠি অফিস,jhalokathi,"বিশ্ব রোড, সরকারী শিশু সদন মসজিদের সামনে (ব্রাকের মোড়), ঝালকাঠি।",01958-587411,01958-587412
বরিশাল বিভাগ,ভোলা অফিস,bhola vola,"কালিনাথ বাজার, হোমিওপ্যাথি কলেজ রোড, তিন খাম্বা, ভোলা।",01958-587421,01958-587422
বরিশাল বিভাগ,চরফ্যাশন অফিস,chorfason charfason,"শরীফ পাড়া, সেলিম পাটোয়ারী ভবন, সবুজ সিনেমা হলের মাথা, চরফ্যাশন।",01958-587493,01958-587494
বরিশাল বিভাগ,বরগুনা অফিস,borguna barguna,"জান্নাত সুপার মার্কেট, সদর রোড, বরগুনা।",01958-587535,01958-587536
বরিশাল বিভাগ,পিরোজপুর অফিস,pirojpur,"বাইপাস রোড, পুরাতন বাস স্ট্যান্ডের নিকটে, পিরোজপুর।",01958-587523,01958-587524
ঢাকা বিভাগ,ভালুকা - সওদাগর,valuka mymensingh,"মোবারক হোসেন মার্কেট, ওয়ার্ড নং-২ (ডিজিটাল হাসপাতালের উত্তর পার্শে) ময়মনসিংহ রোড, ভালুকা।",01324-719196,09639-333888
ঢাকা বিভাগ,মদনপুর - সওদাগর,modonpur narayanganj,"বাতেন সুপার মার্কেট, মদনপুর, বন্দর, নারায়নগঞ্জ (পল্লী বিদ্যুৎ অফিস সংলগ্ন)।",01324-719079,09639-333889
ঢাকা বিভাগ,দোহার - সওদাগর,dohar dhaka,"জয়পাড়া, লোটাখোলা, দোহার, ঢাকা।",01313-362272,09639-333890
ঢাকা বিভাগ,কামরাঙ্গীরচর - সওদাগর,kamrangirchor dhaka,"হোল্ডিং # ৯৮৭, শপ নং # ০৬, হিমালয় সিটি কমপেক্স কাঠপট্টি, পশ্চিম রসুলপুর, কামরাঙ্গীরচর, ঢাকা।",01958-599767,09639-333891
ঢাকা বিভাগ,"মাধবদী, নরসিংদী - সওদাগর",madhbodi norsindi,"পুরাতন বাস স্ট্যান্ড, মাধবদী, নরসিংদী ।",01313-362287,09639-333892
ঢাকা বিভাগ,পাংশা - সওদাগর,pangsha rajbari,"মৈশালা বাস স্ট্যান্ড এর দক্ষিণ পাশে, পাংশা, রাজবাড়ী।",01313-362334,09639-333893
চট্টগ্রাম শহর,হাটহাজারী - সওদাগর,hathajari chittagong ctg,"হাটহাজারী ১১ মাইল, পূর্ব দেওয়ান নগর, হাটহাজারী চট্টগ্রাম।",01324-719199,09639-333894
চট্টগ্রাম শহর,আইস ফ্যাক্টরি রোড - সওদাগর,ice factory road chittagong ctg,"১০ নং গলি (পশ্চিম পাশে) শাহ আমানত রেলওয়ে মর্কেট আইস ফ্যাক্টরী রোড, চট্টগ্রাম।",01313-362286,09639-333895
চট্টগ্রাম শহর,চকবাজার - সওদাগর,chawkbajar chobajar chittagong ctg,"আল আমিন ইন্টারন্যাশনাল, ২০৬/২০৭ লাল চাঁন্দ রোড মদিনা টাওয়ার (নীচ তলা), চকবাজার, চট্টগ্রাম।",01313-362254,09639-333896
চট্টগ্রাম বিভাগ,"রামু, কক্সবাজার - সওদাগর",ramu coxs bajar,"হক এন্টারপ্রাইজ, রামু বাইবাস, রামু, কক্সবাজার।",01313-362243,09639-333897
চট্টগ্রাম বিভাগ,"পেকুয়া, কক্সবাজার - সওদাগর",pekua coxs bajar,"পেকুয়া চৌমহনী, পেকুয়া, কক্সবাজার।",01313-362327,09639-333898
